row_ID,final_price
35000,2903.1143
35001,6344.5244
35002,3247.774
35003,375.00284
35004,5031.7495
35005,5089.026
35006,4132.785
35007,3327.404
35008,3848.9758
35009,5564.0947
35010,5149.0527
35011,7564.6064
35012,2653.8586
35013,290.91037
35014,12328.654
35015,15376.667
35016,5700.889
35017,2521.451
35018,13096.991
35019,2498.2898
35020,185.29167
35021,7338.165
35022,5650.8774
35023,6434.7188
35024,6032.7827
35025,2255.2825
35026,5647.0503
35027,4443.646
35028,806.6874
35029,26182.887
35030,5807.4077
35031,1810.8701
35032,13652.097
35033,7535.7197
35034,4578.0015
35035,12516.878
35036,6894.547
35037,5174.6816
35038,3288.6626
35039,11966.257
35040,1284.1484
35041,6616.898
35042,3966.1018
35043,3840.0095
35044,2307.8252
35045,2522.3755
35046,234.268
35047,4751.5225
35048,4268.026
35049,6632.018
35050,1867.1724
35051,13785.197
35052,6195.8555
35053,5823.2974
35054,2084.2896
35055,674.6345
35056,1965.6401
35057,267.7872
35058,250.46347
35059,6307.848
35060,691.27704
35061,4496.123
35062,3324.0173
35063,7153.486
35064,137.9554
35065,13341.579
35066,6359.06
35067,4103.375
35068,1299.8708
35069,3406.1187
35070,4727.8364
35071,4899.2144
35072,1125.9844
35073,11587.505
35074,4988.5283
35075,7605.8115
35076,4192.505
35077,5945.8037
35078,16790.668
35079,1309.1891
35080,3957.152
35081,5446.2783
35082,3825.325
35083,4181.0527
35084,4188.02
35085,3576.3804
35086,3710.9238
35087,13588.98
35088,4409.214
35089,3735.691
35090,160.55641
35091,3360.8293
35092,250.46347
35093,13512.318
35094,1580.6216
35095,6366.6426
35096,4525.322
35097,8275.127
35098,3604.0625
35099,4114.1777
35100,3762.8066
35101,6546.936
35102,11748.349
35103,69.8492
35104,3457.4202
35105,9241.669
35106,6144.496
35107,5386.473
35108,5220.6357
35109,7391.3335
35110,13899.138
35111,2784.5188
35112,5707.0063
35113,3810.48
35114,4784.244
35115,4071.8235
35116,2627.3687
35117,10193.271
35118,1255.3822
35119,10717.5625
35120,4597.4834
35121,3626.4917
35122,1901.3821
35123,4915.839
35124,5778.536
35125,2411.8552
35126,4131.1704
35127,7316.3237
35128,6647.8374
35129,15552.043
35130,3807.8171
35131,775.17676
35132,3418.034
35133,1645.2172
35134,2655.2876
35135,6259.408
35136,78.822075
35137,1364.2783
35138,4484.2793
35139,1682.4335
35140,2438.306
35141,9395.995
35142,4968.2974
35143,14101.568
35144,2154.0352
35145,3092.594
35146,8717.814
35147,1535.17
35148,4260.5625
35149,3434.07
35150,8783.25
35151,3370.0488
35152,111.46298
35153,2448.8442
35154,6734.049
35155,267.7872
35156,4582.9263
35157,5204.669
35158,2556.0718
35159,6599.1006
35160,146.82912
35161,4706.125
35162,3901.9497
35163,1129.4319
35164,3177.0647
35165,9582.107
35166,6798.6396
35167,4725.0903
35168,5634.2964
35169,3355.528
35170,5274.4805
35171,5978.6973
35172,6059.4937
35173,6001.0186
35174,2511.757
35175,5825.571
35176,6869.623
35177,4618.853
35178,9749.952
35179,5573.8647
35180,2535.0166
35181,4266.444
35182,7004.608
35183,8556.207
35184,4980.6406
35185,-0.91110086
35186,3216.877
35187,4084.793
35188,7120.2466
35189,3192.3162
35190,1846.5854
35191,976.2473
35192,6447.165
35193,6088.7744
35194,7986.1406
35195,9504.241
35196,-38.49972
35197,950.6142
35198,5885.6836
35199,3899.9375
35200,2163.7388
35201,9737.738
35202,6981.7227
35203,2127.9377
35204,4710.078
35205,2929.8235
35206,2217.7104
35207,5743.4463
35208,6943.119
35209,5737.895
35210,13133.922
35211,2860.2966
35212,2041.2042
35213,17835.7
35214,5498.185
35215,1391.1575
35216,10006.576
35217,930.6421
35218,16228.96
35219,4758.4575
35220,7825.2056
35221,10159.688
35222,17914.29
35223,5592.8027
35224,5997.827
35225,2891.7788
35226,16114.835
35227,6830.8696
35228,4325.6675
35229,275.3434
35230,6315.6357
35231,3970.9211
35232,6558.3613
35233,3557.8618
35234,1252.6938
35235,7945.0146
35236,5864.0283
35237,2091.1157
35238,2553.2131
35239,3075.3804
35240,10471.295
35241,10730.668
35242,11079.493
35243,6444.845
35244,3616.602
35245,1846.2422
35246,4988.606
35247,12651.742
35248,5140.3667
35249,3963.3567
35250,5033.465
35251,15232.832
35252,5371.918
35253,2034.109
35254,2404.6077
35255,3038.089
35256,16174.953
35257,1165.6855
35258,1955.5449
35259,1144.0884
35260,2181.0513
35261,2466.8188
35262,211.52888
35263,12291.568
35264,2387.3086
35265,2954.4712
35266,376.1903
35267,3325.503
35268,581.4157
35269,2194.45
35270,4649.6606
35271,7163.567
35272,6066.203
35273,725.4615
35274,8868.684
35275,3056.89
35276,10844.352
35277,1901.0353
35278,2609.2317
35279,46.20974
35280,5168.037
35281,3420.393
35282,2530.9275
35283,5851.7188
35284,558.43536
35285,7118.523
35286,5601.1694
35287,5569.001
35288,506.01675
35289,8187.0776
35290,9441.99
35291,4683.8804
35292,4669.948
35293,198.77371
35294,5273.745
35295,373.23383
35296,4201.935
35297,5569.125
35298,5196.8755
35299,5284.201
35300,5675.134
35301,1552.6646
35302,3536.3438
35303,3742.526
35304,3527.8093
35305,17358.998
35306,301.8498
35307,5347.056
35308,5344.4746
35309,5540.031
35310,6154.283
35311,11157.807
35312,5287.3994
35313,3690.8337
35314,4515.543
35315,4406.503
35316,4205.267
35317,2509.4968
35318,3916.0894
35319,5732.881
35320,3999.8943
35321,149.31657
35322,3129.5115
35323,3455.0947
35324,1144.0884
35325,7579.6123
